Read,DNF,Author,Series Title,#In Series,Title,Page Count,Edition,Digitally Signed,Signed,Sprayed Edges,Hidden Cover,Reversable Dust Jacket,Started Reading,Finished Reading,Rating,Publisher,Gifted
FALSE,FALSE,Raven Kennedy,The Plated Prisoner,1,Gild,386,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,,,,Penguin,Milton
TRUE,FALSE,Rebecca Yarros ,The Empryean ,1,Fourth Wing,498,Hardback,FALSE,FALSE,FALSE,FALSE,FALSE,03/08/2023,08/08/2023,5/5,Piatkus,
TRUE,FALSE,Rebecca Yarros ,The Empryean ,2,Iron Flame,623,Hardback,FALSE,FALSE,FALSE,FALSE,FALSE,07/11/2023,13/07/2023,3/5,Piatkus,
TRUE,FALSE,Rebecca Yarros ,The Empryean ,3,Onyx Storm,527,Hardback,FALSE,FALSE,FALSE,FALSE,FALSE,21/01/2025,01/02/2025,2/5,,
TRUE,FALSE,Rebecca Yarros ,The Empryean ,1,Fourth Wing,498,Hardback Waterstones Exclusive,FALSE,FALSE,TRUE,FALSE,FALSE,03/08/2023,08/08/2023,5/5,Piatkus,
TRUE,FALSE,Rebecca Yarros ,The Empryean ,3,Onyx Storm,527,Hardback Waterstones Exclusive,FALSE,FALSE,TRUE,FALSE,FALSE,21/01/2025,21/01/2025,3/5,,
TRUE,FALSE,Rebecca Ross,Letters of Enchantment,1,Divine Rivals,353,Hardback ,FALSE,FALSE,FALSE,FALSE,FALSE,13/02/2024,16/02/2024,5/5,Magpie,
TRUE,FALSE,Rebecca Ross,Letters of Enchantment,2,Ruthelss Vows,432,Hardback ,FALSE,FALSE,FALSE,FALSE,FALSE,18/02/2024,26/02/2024,5/5,Magpie,
TRUE,FALSE,Rebecca Ross,Letters of Enchantment,2,Ruthelss Vows,431,Fairyloot,TRUE,FALSE,TRUE,TRUE,FALSE,18/02/2024,26/02/2024,5/5,Magpie,
TRUE,FALSE,Rosa Lucas,The London Mister,1,Taming Mr. Walker,423,Paperback,FALSE,FALSE,FALSE,FALSE,FALSE,28/01/2023,29/01/2023,4/5,Indie,
TRUE,FALSE,Ruby Dixon,Ice Planet Barbarians,1,Ice Planet Barbarians,305,Paperback Special Edition,FALSE,TRUE,FALSE,FALSE,FALSE,10/06/2023,11/06/2024,3/5,Berkley,
